PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-24,18:06:56.47,1,1,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.69389,-0.484461,1.1274,2311.705368,151.011123,11:00,5.84878,-1.5385,6.02573,-24.85486,12.87572,-6.49055,3.32876,-1.03511,78.57125,-5.14461,-0.040654,0.442098,,,,,,,,,,,,3.63729,7.11548,1.45376,50,5.79735,-2.19074,-124.52908,-1.81467,5.72519,24.44903,-20.97404,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,8dee4320-3904-11f0-b34f-e5e76b861405,85.25818,,,7.12264,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:06:56.47,2025-05-24T18:06:56.4727296-07:00,2025-05-25T01:06:56.4727296Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,5fdc43be-9257-45d6-a15c-bc256b7884b1,54.4718,-125.40396,12.22451,5.84886,-1.06414,-10.48702,1.53582,-2.39561,2.8626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-24,18:07:12.15,1,2,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.62845,-0.830211,0.154151,2108.563452,121.021758,10:00,5.83126,-1.46644,6.14546,-26.6134,9.50178,-13.8628,2.84626,-2.47923,80.03366,-5.812566,-2.347628,0.43253,,,,,,,,,,,,7.17827,5.51453,1.46146,50,5.75444,0.22144,-127.3267,-2.68535,11.73506,27.16011,-23.15884,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,9742b870-3904-11f0-b34f-e5e76b861405,87.14407,,,7.59479,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:07:12.15,2025-05-24T18:07:12.1512448-07:00,2025-05-25T01:07:12.1512448Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,e6d6dd93-bf4d-41db-9898-46f20e1020ed,54.35207,-128.25168,13.58005,5.83246,-1.89664,-11.57942,1.46073,-0.17822,5.86753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-24,18:07:29.20,1,3,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.43361,1.318316,-0.732824,2580.554942,258.948479,2:45,5.36813,-1.84026,5.80116,-44.08534,4.8815,17.63843,2.92078,-1.052,69.58724,-6.802366,2.42903,0.503643,,,,,,,,,,,,-9.17796,2.60217,1.8899,50,5.45008,0.76492,-109.64848,1.19013,-11.23076,18.45811,-28.98985,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,a17d6f10-3904-11f0-b34f-e5e76b861405,74.83964,,,5.84637,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:07:29.20,2025-05-24T18:07:29.2081664-07:00,2025-05-25T01:07:29.2081664Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,aefc44fe-8c47-45aa-8797-d86dc81684f0,54.69874,-110.43663,9.22906,5.37284,2.42798,-14.49493,1.847,1.24446,-5.61538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-24,18:07:46.22,1,4,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,1,2,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.14784,-1.836027,1.068836,2097.594152,134.459541,10:30,5.75811,-1.45452,6.53378,-23.73978,12.04335,-11.1539,2.09479,-1.40348,80.10655,-6.313588,-0.959058,0.430537,,,,,,,,,,,,6.15469,7.16288,1.38486,50,5.62041,-1.94831,-126.71615,-4.73466,10.0276,25.397,-20.50386,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,ab92c360-3904-11f0-b34f-e5e76b861405,87.54751,,,7.0413,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:07:46.22,2025-05-24T18:07:46.2291456-07:00,2025-05-25T01:07:46.2291456Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,325a0a54-3bf9-4600-8806-ddb48d794e99,53.96525,-127.50841,12.6985,5.75813,-4.09505,-10.25193,1.45052,-2.26112,5.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-24,18:08:07.11,1,5,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.76712,0.855696,1.818358,2224.637249,144.297127,10:45,5.84056,-1.38619,6.13638,-24.43399,11.88556,-7.63713,4.59569,-0.34151,79.26105,-3.768911,0.442347,0.433752,,,,,,,,,,,,4.47177,6.24099,1.25111,50,5.89333,-3.72348,-127.33065,1.15765,7.2585,28.90408,-22.04379,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,b8051a80-3904-11f0-b34f-e5e76b861405,86.89856,,,8.50607,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:08:07.11,2025-05-24T18:08:07.1107072-07:00,2025-05-25T01:08:07.1107072Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,0255842d-78d8-412f-82b6-5294b929d642,54.35852,-128.31621,14.45204,5.84104,1.9093,-11.02189,1.38229,-3.97098,3.62925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-24,18:08:24.80,1,6,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,2,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.48988,0.232048,0.340832,2647.809045,275.807589,3:15,5.41378,-1.76622,5.82533,-48.46951,-0.42209,19.31249,1.59038,0.16001,70.22222,-8.664307,3.808546,0.498892,,,,,,,,,,,,-9.848,0.11339,1.72655,50,5.40387,-1.35099,-111.14959,-1.04174,-12.23244,21.24102,-32.03323,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,c29f2f30-3904-11f0-b34f-e5e76b861405,75.55231,,,6.26766,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:08:24.80,2025-05-24T18:08:24.8080896-07:00,2025-05-25T01:08:24.8080896Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,594c5ed8-3d56-40db-a5bf-b860590d9c39,54.67579,-112.03959,10.62051,5.41939,0.30045,-16.01661,1.77241,-0.83845,-6.11622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-24,18:08:44.71,1,7,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,2,2,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.99401,0.613285,0.124997,2679.91953,273.944641,3:15,5.26193,-1.86305,6.13136,-47.83613,0.26358,18.53359,1.84247,-0.20306,69.70067,-8.231413,3.470941,0.499163,,,,,,,,,,,,-9.62071,0.35209,1.84376,50,5.28384,-0.87252,-110.47878,-0.2049,-11.80654,20.98228,-31.74196,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,ce7916e0-3904-11f0-b34f-e5e76b861405,75.51126,,,6.29334,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:08:44.71,2025-05-24T18:08:44.7109632-07:00,2025-05-25T01:08:44.7109632Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,77752d78-78a0-4f8f-ab10-48dabe457121,54.36968,-111.30558,10.49114,5.26727,1.04588,-15.87098,1.86897,-0.40729,-5.90327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-24,18:09:06.18,1,8,"Morell, Jake",1000303166,Left,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,2,2,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.60529,-0.602884,1.564384,2071.751767,129.72657,10:15,5.88896,-1.46195,6.40029,-25.99017,11.1869,-11.48808,3.16847,-0.98032,77.0206,-5.591206,-0.517917,0.438843,76.72895,-16.63854,-10.509981,,,,,11.43063,10.49314,-4.622091,0.096615,6.59339,6.52788,1.35455,50,5.83423,-2.99432,-126.81859,-2.08127,10.27111,36.41371,-22.00497,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,db376b20-3904-11f0-b34f-e5e76b861405,85.89052,3.18758,,10.58468,,,,1.27147,3.18758,0.98054,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:09:06.18,2025-05-24T18:09:06.1810176-07:00,2025-05-25T01:09:06.1810176Z,GroundBall,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,c4a01533-f2f5-408e-abc0-72560dd53ec0,54.09154,-127.98801,18.20685,5.88972,-1.37458,-11.00249,1.45601,-3.32418,5.13555,147.713646,1.27155,106.00357,-12.82432,,,,,,,3.18758,-32.22222,-7.97754,,,,,,,0.98054,-19.66855,-0.14915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-05-24,18:09:45.97,2,1,"Morell, Jake",1000303166,Left,LIN_POT,"Ruiz, Adrian",N/A,Undefined,NOV_KNI,Undefined,1,Top,1,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.90909,0.937056,-0.536265,2717.842215,262.116198,2:45,5.38147,-1.91666,5.55116,-45.02743,4.38264,19.81517,2.50491,-0.76651,69.27589,-7.342038,3.000577,0.505917,,,,,,,,,,,,-10.12981,2.45059,1.94982,50,5.43305,0.27587,-110.1734,0.37637,-12.35428,20.98955,-29.18533,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,f30467d0-3904-11f0-b34f-e5e76b861405,74.50324,,,6.6332,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:09:45.97,2025-05-24T18:09:45.9783168-07:00,2025-05-25T01:09:45.9783168Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,81ba2736-81d4-414d-9c4c-f0045ce058da,54.94711,-111.11189,10.49477,5.38705,1.68132,-14.59267,1.92514,0.82826,-6.17714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-24,18:09:59.53,2,2,"Morell, Jake",1000303166,Left,LIN_POT,"Ruiz, Adrian",N/A,Undefined,NOV_KNI,Undefined,1,Top,1,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.87361,-0.71185,0.273959,2075.978043,123.697321,10:00,5.83857,-1.42968,6.19307,-26.80596,10.14965,-13.30028,2.94751,-2.28511,78.7439,-5.755924,-2.128406,0.437534,,,,,,,,,,,,6.9378,5.86335,1.41535,50,5.77161,-0.06585,-126.1419,-2.39073,11.04267,28.56738,-22.84157,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250524-McBean-Private-3,fb0cd520-3904-11f0-b34f-e5e76b861405,86.14751,,,8.12971,,,,,,,f6305be0-99af-4c50-9444-5818c864d71d,2025-05-25,01:09:59.53,2025-05-24T18:09:59.5320320-07:00,2025-05-25T01:09:59.5320320Z,,v3,,,,"Chang, Aidan",N/A,Undefined,LIN_POT,7c526873-ce0b-4da9-a672-f74281afbc38,54.30331,-127.11273,14.28369,5.83967,-1.61448,-11.42078,1.42396,-0.44112,5.52133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
