PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Ferretti, Jake",1000218581,Left,LIN_POT,"Davis, Wyatt",809097,Left,SOL_MUD,Undefined,1,Top,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,fc596440-6765-11f0-a3df-aff815eaa43b,,,,,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,,,,,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-07-22,18:40:26.74,1,2,"Ferretti, Jake",1000218581,Left,LIN_POT,"Davis, Wyatt",809097,Left,SOL_MUD,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.86667,0.472901,1.204855,2250.152411,143.902397,10:45,5.70106,-2.01486,5.34953,-26.66466,10.50418,-6.94363,3.92266,-1.46324,80.59744,-4.424959,-0.028726,0.438794,,,,,,,,,,,,3.82016,5.46311,1.91173,50,5.72447,-2.36694,-126.33419,0.09009,6.27515,21.78401,-23.20016,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,026f9e80-6766-11f0-a3df-aff815eaa43b,85.90005,,,6.26923,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:40:26.74,2025-07-22T18:40:26.7481600-07:00,2025-07-23T01:40:26.7481600Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,ccc41878-9724-446a-9217-1fa24500735e,55.15207,-127.21947,10.89201,5.70164,1.03292,-11.60008,2.0131,-2.62196,3.13758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-22,18:40:42.17,1,3,"Ferretti, Jake",1000218581,Left,LIN_POT,"Davis, Wyatt",809097,Left,SOL_MUD,Undefined,1,Top,0,2,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.59579,-1.901953,3.869796,2323.073905,119.137954,10:00,5.6732,-1.9031,5.31425,-28.69478,8.43123,-13.11528,1.49214,0.64152,80.73306,-7.148879,1.54552,0.438541,,,,,,,,,,,,7.60115,5.05374,1.56185,50,5.47962,-8.01289,-126.92945,-5.2771,12.4882,24.26204,-23.87106,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,0b9059a0-6766-11f0-a3df-aff815eaa43b,85.94955,,,6.86273,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:40:42.17,2025-07-22T18:40:42.1720064-07:00,2025-07-23T01:40:42.1720064Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,1bbdbf64-eeca-4271-a8fa-8d2caa8280ab,55.1856,-127.91682,12.13102,5.67461,-4.30564,-11.93553,1.89828,-8.52111,6.2441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-22,18:40:56.85,1,4,"Ferretti, Jake",1000218581,Left,LIN_POT,"Davis, Wyatt",809097,Left,SOL_MUD,Undefined,1,Top,0,3,0,Undefined,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.48952,0.833765,2.329349,2307.869996,143.659333,10:45,5.62655,-2.2161,5.07751,-29.7349,8.52949,-5.45213,3.93533,-0.47338,79.53245,-4.604148,1.366674,0.445214,,,,,,,,,,,,3.29929,4.36949,1.99977,50,5.68229,-4.85965,-125.49885,0.71149,5.30553,23.42576,-25.14757,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,144cd4b0-6766-11f0-a3df-aff815eaa43b,84.6614,,,6.95707,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:40:56.85,2025-07-22T18:40:56.8531968-07:00,2025-07-23T01:40:56.8531968Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,fa92b0ba-4d88-488e-b5ba-2580d522f774,55.42085,-126.50666,11.71288,5.62841,1.79338,-12.57378,2.21375,-5.0879,2.65277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-22,18:41:09.89,1,5,"Ferretti, Jake",1000218581,Left,LIN_POT,"Davis, Wyatt",809097,Left,SOL_MUD,Undefined,1,Top,0,3,1,Undefined,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,87.7533,-1.028148,3.612529,2416.273059,131.633139,10:30,5.61027,-2.00773,5.13084,-24.42934,13.52828,-13.66154,2.6042,0.26046,79.08985,-5.56988,1.200512,0.443426,83.08708,35.357876,-22.46659,,97.73603,69.4014,-50.47423,278.46905,128.2154,-33.017957,4.85695,7.96477,7.45024,1.67957,50,5.49532,-7.38881,-126.90543,-3.15127,12.8103,29.30331,-20.19129,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,1c2d47a0-6766-11f0-a3df-aff815eaa43b,85.00281,80.43214,,8.66346,,,,0.73683,3.12703,-0.54597,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:41:09.89,2025-07-22T18:41:09.8987520-07:00,2025-07-23T01:41:09.8987520Z,FlyBall,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,f623e711-8819-45e2-8b17-8335fa4b92c4,55.36593,-128.13847,14.65165,5.61005,-2.30166,-10.09564,2.00182,-7.92784,6.40515,154.025632,0.74055,91.75923,-22.11025,5.37181,-0.81469,0.01459,0.01982,-0.00311,0.00014,3.12563,70.54165,-17.34371,0.3866,0.23806,-0.13993,0.04326,-0.00662,0.00038,-0.54616,-37.97632,1.45874,0.3718,-0.2263,0.06178,-0.00999,0.00089,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-07-22,18:41:45.17,2,1,"Ferretti, Jake",1000218581,Left,LIN_POT,"Crudo, Tyler",1000336634,Right,SOL_MUD,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.1701,-3.717111,5.198738,2319.96063,121.156698,10:00,5.67181,-1.89386,5.39296,-26.88923,9.9891,-14.58863,-0.07188,1.77601,81.1293,-8.63297,2.616067,0.437076,,,,,,,,,,,,8.79945,6.35941,1.43953,50,5.31936,-10.95849,-127.3219,-9.27075,14.49995,25.2008,-21.69487,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,31341f70-6766-11f0-a3df-aff815eaa43b,86.23773,,,7.0408,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:41:45.17,2025-07-22T18:41:45.1708928-07:00,2025-07-23T01:41:45.1708928Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,f9afad9b-f7fe-4ce3-87f7-1ae3b87009e9,55.10751,-128.32885,12.6004,5.67247,-8.40388,-10.84743,1.88897,-11.53787,7.24997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-22,18:41:59.78,2,2,"Ferretti, Jake",1000218581,Left,LIN_POT,"Crudo, Tyler",1000336634,Right,SOL_MUD,Undefined,1,Top,1,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.11991,0.622525,2.365196,1755.131436,109.647128,9:45,5.45395,-2.29976,5.25468,-35.74175,6.45418,-14.56898,3.06092,-1.29025,75.57134,-5.91222,-0.217717,0.467527,,,,,,,,,,,,7.90433,3.44571,2.09411,50,5.48459,-4.31553,-119.20595,0.03437,11.44969,21.48134,-27.18285,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,39ef6200-6766-11f0-a3df-aff815eaa43b,80.62088,,,6.54857,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:41:59.78,2025-07-22T18:41:59.7839872-07:00,2025-07-23T01:41:59.7839872Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,94c83d1d-4e59-42f2-adf1-f1422aa70ac5,55.24489,-120.14738,10.74067,5.45698,1.22567,-13.59142,2.29423,-4.81732,5.72485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-22,18:42:14.83,2,3,"Ferretti, Jake",1000218581,Left,LIN_POT,"Crudo, Tyler",1000336634,Right,SOL_MUD,Undefined,1,Top,1,1,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,87.35537,-0.782198,2.91254,2439.619266,122.890831,10:00,5.75629,-2.1321,5.38763,-28.86372,8.17119,-10.97394,2.61685,-0.31439,80.62702,-6.074222,0.963116,0.438003,72.57924,-68.259459,-94.133489,,,,,1.79865,1.75948,-26.344098,0.027214,6.29678,4.61949,1.87986,50,5.66589,-5.98306,-126.81306,-2.7785,10.34878,23.68332,-24.58187,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,42dfe560-6766-11f0-a3df-aff815eaa43b,86.05521,2.70091,,6.72835,,,,1.68949,2.70091,0.27606,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:42:14.83,2025-07-22T18:42:14.8339200-07:00,2025-07-23T01:42:14.8339200Z,GroundBall,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,8f19a067-5b70-4a5c-affe-eb71a173e7af,55.11287,-127.76436,11.84166,5.75766,-1.7911,-12.29094,2.12853,-6.39874,5.17439,180,1.68953,-2.85266,,,,,,,,2.70252,-99.24571,,,,,,,,0.2767,-39.47309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-07-22,18:43:00.28,3,1,"Ferretti, Jake",1000218581,Left,LIN_POT,"Goldenberg, Zachary",10131607,Right,SOL_MUD,Undefined,1,Top,1,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.54037,-2.238716,4.753059,1668.290975,99.196439,9:15,5.48487,-2.39633,5.07182,-37.81537,3.52008,-13.97221,0.21459,0.93076,77.20172,-9.059447,2.289462,0.462735,,,,,,,,,,,,8.22701,2.68807,1.95617,50,5.24159,-9.45425,-120.85431,-6.14584,12.24258,22.19496,-28.17394,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,5dfb49c0-6766-11f0-a3df-aff815eaa43b,81.4557,,,6.33865,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:43:00.28,2025-07-22T18:43:00.2803200-07:00,2025-07-23T01:43:00.2803200Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,efc03549-8a74-49b8-bab8-015aaaff8160,55.42878,-121.84723,11.09748,5.48834,-4.88544,-14.08697,2.39137,-10.00194,6.12129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-22,18:43:22.87,3,2,"Ferretti, Jake",1000218581,Left,LIN_POT,"Goldenberg, Zachary",10131607,Right,SOL_MUD,Undefined,1,Top,1,1,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.65615,-0.057339,2.526316,2210.058258,143.332873,10:45,5.65344,-2.36318,5.32649,-25.56045,12.11764,-8.215,3.46954,-0.67567,79.88742,-4.769775,1.069054,0.44179,,,,,,,,,,,,4.80189,6.42323,2.14096,50,5.6299,-5.20384,-125.83769,-1.02702,7.77425,23.2188,-21.77482,LIN_POT,SOL_MUD,McBean,Pacific Empire,PEL,20250722-McBean-1,6b6a9e80-6766-11f0-a3df-aff815eaa43b,85.31753,,,6.76873,,,,,,,933bb350-9c5e-466a-9864-03581f1b2bb4,2025-07-23,01:43:22.87,2025-07-22T18:43:22.8786688-07:00,2025-07-23T01:43:22.8786688Z,,v3,,,,"Villanueva, Ryan",10272230,Right,LIN_POT,6d1067cf-ae29-4626-80bb-e471a7ed66bc,55.17399,-126.78877,11.6094,5.6537,-0.13509,-10.88741,2.36065,-5.52228,3.88713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
