PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-23,18:38:59.78,1,1,"Sharp, Brayden",806681,Left,LIN_POT,"Martinez, Maximo",1000072115,Right,HEA_PRU,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.42397,-2.653521,1.736183,2519.948769,165.956251,11:30,6.11696,-0.54157,6.34808,-13.13016,21.53159,-5.08496,2.57731,0.63335,81.10542,-5.223704,0.816216,0.423737,,,,,,,,,,,,3.15221,12.33335,0.41767,50,5.91754,-3.72307,-129.70226,-6.29751,5.32433,29.26925,-11.34214,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,f942bc10-682e-11f0-9e27-09683a64b740,88.95239,,,8.31855,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:38:59.78,2025-07-23T18:38:59.7853696-07:00,2025-07-24T01:38:59.7853696Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,b5ed3f40-d7a9-40d2-9020-429eac7c98c3,54.14745,-130.63485,14.63462,6.11243,-5.93613,-5.67107,0.539,-3.89271,2.66216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,,,1,2,"Sharp, Brayden",806681,Left,LIN_POT,"Martinez, Maximo",1000072115,Right,HEA_PRU,Undefined,1,Top,0,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,0271a800-682f-11f0-9e27-09683a64b740,,,,,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,,,,,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-07-23,18:39:26.70,1,3,"Sharp, Brayden",806681,Left,LIN_POT,"Martinez, Maximo",1000072115,Right,HEA_PRU,Undefined,1,Top,0,1,1,Undefined,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,83.80702,-3.76683,0.011006,2365.43419,215.397529,1:15,6.06006,-0.76941,6.06072,-33.24203,6.14311,3.5391,-0.20145,-0.4643,77.8293,-9.858787,0.650132,0.451687,,,,,,,,,,,,-1.84583,4.48256,0.76659,50,5.74931,-0.15379,-121.65702,-9.0574,-2.7817,22.62532,-25.4187,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,095a7480-682f-11f0-9e27-09683a64b740,83.44815,,,5.97772,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:39:26.70,2025-07-23T18:39:26.7066880-07:00,2025-07-24T01:39:26.7066880Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,31277056-93ba-47fe-a204-0293b908b554,54.44002,-122.47998,11.31266,6.06195,-8.13284,-12.70935,0.77035,-0.05261,-1.39085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-23,18:39:45.69,1,4,"Sharp, Brayden",806681,Left,LIN_POT,"Martinez, Maximo",1000072115,Right,HEA_PRU,Undefined,1,Top,0,2,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.86703,-0.796816,-0.087291,2310.65903,183.146882,12:00,6.04472,-0.60524,6.33734,-16.25733,18.74588,0.96547,3.95627,-0.60515,80.58755,-3.941418,0.087464,0.425819,,,,,,,,,,,,-0.52508,10.32386,0.61118,50,5.97875,0.15728,-129.07482,-2.20142,-0.87866,28.89748,-14.89842,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,14a5b0c0-682f-11f0-9e27-09683a64b740,88.51743,,,8.27948,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:39:45.69,2025-07-23T18:39:45.6937472-07:00,2025-07-24T01:39:45.6937472Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,2f176308-068a-49e1-89ae-0a42979f3b35,54.15802,-130.00239,14.44874,6.04174,-1.7232,-7.44921,0.60568,0.18549,-0.43933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-23,18:40:01.25,1,5,"Sharp, Brayden",806681,Left,LIN_POT,"Martinez, Maximo",1000072115,Right,HEA_PRU,Undefined,1,Top,0,3,1,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.55319,0.079345,-0.33724,2374.417543,181.307615,12:00,6.02073,-0.70877,6.19543,-14.84627,20.01033,0.42858,4.85678,-0.98439,80.64886,-2.818922,-0.259888,0.424927,,,,,,,,,,,,-0.32622,10.63717,0.73395,50,6.01888,0.74661,-129.95724,-0.17347,-0.55025,30.71903,-14.23201,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,1dd734c0-682f-11f0-9e27-09683a64b740,88.70342,,,8.90433,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:40:01.25,2025-07-23T18:40:01.2506624-07:00,2025-07-24T01:40:01.2506624Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,af9e8e95-17e3-4b09-88c6-9acc34918eac,54.29804,-130.96926,15.35951,6.01687,0.2954,-7.11601,0.70906,0.76474,-0.27512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-23,18:40:33.64,2,1,"Sharp, Brayden",806681,Left,LIN_POT,"Savattere, Antonelli",821382,Left,HEA_PRU,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.30333,0.160617,2.304651,2195.875211,182.797352,12:00,5.87392,-0.4898,6.81499,-16.1154,18.08875,0.82602,4.67763,1.68286,80.64296,-2.991155,2.455258,0.420931,,,,,,,,,,,,0.29157,9.85438,0.341,50,5.87767,-5.25057,-129.6719,0.01008,0.49023,30.30247,-15.6066,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,31393630-682f-11f0-9e27-09683a64b740,89.54539,,,8.66036,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:40:33.64,2025-07-23T18:40:33.6443904-07:00,2025-07-24T01:40:33.6443904Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,3b2098cd-f922-4874-bf00-e4e915f0605a,53.67987,-130.529,15.15124,5.87115,0.45151,-7.8033,0.48971,-5.26444,0.24511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-23,18:40:57.49,2,2,"Sharp, Brayden",806681,Left,LIN_POT,"Savattere, Antonelli",821382,Left,HEA_PRU,Undefined,1,Top,0,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.31694,-1.092431,1.171006,2195.412114,174.712076,11:45,5.90025,-0.40141,6.56673,-18.75855,17.34824,-1.48807,3.33527,0.54819,78.94093,-4.715034,0.900535,0.43248,,,,,,,,,,,,1.14366,9.80591,0.32141,50,5.81686,-2.53351,-126.78278,-2.88065,1.83787,28.98984,-16.416,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,3f73ca30-682f-11f0-9e27-09683a64b740,87.15421,,,8.37601,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:40:57.49,2025-07-23T18:40:57.4914560-07:00,2025-07-24T01:40:57.4914560Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,98d5ce16-1993-46db-9733-eb2e16fafddb,53.92805,-127.6778,14.49492,5.89797,-2.37383,-8.208,0.40051,-2.59025,0.91893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-23,18:41:43.63,2,3,"Sharp, Brayden",806681,Left,LIN_POT,"Savattere, Antonelli",821382,Left,HEA_PRU,Undefined,1,Top,0,2,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.32745,-0.699629,0.604617,2291.892917,192.267122,12:30,5.94489,-0.39776,6.46385,-16.38969,19.94706,4.05276,3.93641,0.49532,78.65046,-3.898337,1.339768,0.433855,,,,,,,,,,,,-1.90142,10.99709,0.35357,50,5.8878,-1.49973,-126.76296,-1.92123,-3.04534,29.70294,-14.56085,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,5afb0fc0-682f-11f0-9e27-09683a64b740,86.87799,,,8.67699,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:41:43.63,2025-07-23T18:41:43.6371456-07:00,2025-07-24T01:41:43.6371456Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,1bf26717-c743-4b29-8171-a949718ad06c,54.03002,-127.70378,14.85147,5.94135,-1.46003,-7.28042,0.39954,-1.40327,-1.52267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-23,18:42:30.37,2,4,"Sharp, Brayden",806681,Left,LIN_POT,"Savattere, Antonelli",821382,Left,HEA_PRU,Undefined,1,Top,0,3,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.67862,-1.69576,1.227827,2305.259441,183.916797,12:15,5.94929,-0.48677,6.54056,-16.30883,19.55481,1.25205,3.03414,0.74385,79.28221,-4.867565,1.455232,0.431021,,,,,,,,,,,,-0.26406,11.12288,0.40132,50,5.82437,-2.77714,-127.25938,-4.13998,-0.42765,29.13347,-14.15939,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,76d70500-682f-11f0-9e27-09683a64b740,87.44915,,,8.39642,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:42:30.37,2025-07-23T18:42:30.3795200-07:00,2025-07-24T01:42:30.3795200Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,aa7ec355-9634-4110-b4fd-bb83a91b1849,53.95368,-128.1613,14.56674,5.94575,-3.70163,-7.0797,0.48709,-2.7639,-0.21382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-23,18:42:52.30,2,5,"Sharp, Brayden",806681,Left,LIN_POT,"Savattere, Antonelli",821382,Left,HEA_PRU,Undefined,1,Top,0,3,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.65255,-2.754483,0.201886,2242.360223,170.094772,11:45,5.85646,-0.46491,6.53425,-17.48635,18.48525,-3.00158,1.87072,-0.52987,79.26908,-6.132262,-0.343666,0.431669,,,,,,,,,,,,1.66197,11.0126,0.45221,50,5.65783,-0.33771,-127.21767,-6.55495,2.68089,29.9217,-14.40959,LIN_POT,HEA_PRU,McBean,Pacific Empire,PEL,20250723-McBean-1,83df0c70-682f-11f0-9e27-09683a64b740,87.31787,,,8.38347,,,,,,,64651549-51cd-42c1-83a5-cbcea9c19ae8,2025-07-24,01:42:52.30,2025-07-23T18:42:52.3088896-07:00,2025-07-24T01:42:52.3088896Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,357d4ade-22c5-4fcf-b32b-2a087b587207,53.96431,-128.14669,14.96085,5.8544,-6.10756,-7.2048,0.46399,-0.42095,1.34045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
