PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-30,19:05:39.94,1,1,"Morell, Jake",1000303166,Left,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.16299,-1.31516,2.716372,2080.133959,122.576343,10:00,5.77371,-1.34829,5.984,-27.73218,10.01233,-13.69068,2.24214,0.03043,78.49922,-6.493517,0.255699,0.442179,,,,,,,,,,,,7.81296,5.91406,1.14114,50,5.65454,-5.37195,-124.98524,-3.75666,12.2869,26.55658,-22.87342,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,c0893560-3dc3-11f0-b243-abfb408d895f,85.24244,,,7.66377,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:05:39.94,2025-05-30T19:05:39.9447040-07:00,2025-05-31T02:05:39.9447040Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,5b67d1c7-de5d-45cd-83c7-0d3cb9103514,54.51347,-125.9406,13.27829,5.77489,-2.9338,-11.43671,1.34234,-5.81397,6.14345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-30,19:05:56.85,1,2,"Morell, Jake",1000303166,Left,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.61125,0.375705,0.912262,2541.974368,263.302936,2:45,5.3237,-1.61399,5.24211,-46.47916,3.30323,15.75249,1.80358,0.55615,69.99277,-8.060902,3.707521,0.507819,,,,,,,,,,,,-7.66898,1.98154,1.51791,50,5.32351,-2.34884,-109.8442,-0.8145,-9.41616,18.55649,-29.7411,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,caa9ad40-3dc3-11f0-b243-abfb408d895f,74.22412,,,5.61848,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:05:56.85,2025-05-30T19:05:56.8566784-07:00,2025-05-31T02:05:56.8566784Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,fda1cc7a-990a-411e-ab37-5db22a6eb381,55.25832,-110.72895,9.27825,5.32854,0.60351,-14.87055,1.6192,-1.89989,-4.70808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-30,19:06:14.42,1,3,"Morell, Jake",1000303166,Left,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,1,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.22534,-2.209928,3.000598,2096.847548,124.461517,10:15,5.65807,-1.30519,5.9236,-26.49887,11.21965,-14.54135,1.39535,0.2699,78.83624,-7.145805,0.390289,0.442027,,,,,,,,,,,,8.30808,6.75937,1.07319,50,5.46599,-5.96158,-125.01778,-5.67673,13.11297,25.84393,-21.50547,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,d51ab620-3dc3-11f0-b243-abfb408d895f,85.27177,,,7.3891,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:06:14.42,2025-05-30T19:06:14.4285696-07:00,2025-05-31T02:06:14.4285696Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,1728d155-5843-43a7-ba56-7ba4af493888,54.57463,-125.95991,12.92196,5.65865,-4.89276,-10.75273,1.29923,-6.4396,6.55648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-30,19:06:32.92,1,4,"Morell, Jake",1000303166,Left,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,2,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.13187,-1.489209,2.872709,2104.278268,129.775152,10:15,5.62667,-1.35714,5.89873,-26.49285,11.39414,-12.16737,2.03437,0.29804,78.50406,-6.436173,0.690136,0.443013,,,,,,,,,,,,7.06059,6.65044,1.13287,50,5.49163,-5.76854,-124.90108,-4.09636,11.09777,26.3313,-21.72096,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,e0214840-3dc3-11f0-b243-abfb408d895f,85.08203,,,7.6278,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:06:32.92,2025-05-30T19:06:32.9203200-07:00,2025-05-31T02:06:32.9203200Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,9b901426-9fb3-4a5a-9b02-aeac9021ff1b,54.59872,-125.86683,13.16565,5.62727,-3.29969,-10.86048,1.35191,-6.17557,5.54888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-30,19:06:53.93,1,5,"Morell, Jake",1000303166,Left,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,2,2,Undefined,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,86.63743,-1.411257,2.047961,2134.228861,118.247092,10:00,5.74467,-1.25975,6.07865,-27.78261,9.25213,-14.99843,2.12263,-0.61401,79.25483,-6.594678,-0.654798,0.438002,67.47595,-36.595788,-0.739431,,,,,4.98207,4.98207,6.562971,0.036988,8.36225,5.52796,1.10946,50,5.62074,-3.90821,-125.81927,-3.98098,13.3661,26.21459,-23.33823,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,ecac3070-3dc3-11f0-b243-abfb408d895f,86.0554,2.18982,,7.3826,,,,2.00062,2.18982,0.60748,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:06:53.93,2025-05-30T19:06:53.9367424-07:00,2025-05-31T02:06:53.9367424Z,GroundBall,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,9765691c-9021-48a2-bf9f-d2a03f091af9,54.42078,-126.73699,13.10729,5.7458,-3.16395,-11.66912,1.25447,-4.37613,6.68305,,1.99899,79.72236,,,,,,,,2.19103,-59.20289,,,,,,,,0.60751,-1.02891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2025-05-30,19:07:38.03,2,1,"Morell, Jake",1000303166,Left,LIN_POT,"Soper, Gavin",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.95299,0.718537,2.450356,2504.106488,256.906624,2:30,5.2971,-1.66793,4.95525,-47.44636,5.44894,16.59832,2.02278,2.03182,68.26185,-7.857746,5.37214,0.523456,,,,,,,,,,,,-7.53831,2.99528,1.41613,50,5.32791,-5.23514,-107.23737,-0.23846,-8.7925,18.26178,-28.68044,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,06f96f60-3dc4-11f0-b243-abfb408d895f,72.00692,,,5.69114,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:07:38.03,2025-05-30T19:07:38.0367872-07:00,2025-05-31T02:07:38.0367872Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,85bd323d-1b96-4509-913e-5b0d1a9dd5ea,55.54365,-108.17729,9.13089,5.3022,1.23771,-14.34022,1.67393,-4.7826,-4.39625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-30,19:08:00.15,2,2,"Morell, Jake",1000303166,Left,LIN_POT,"Soper, Gavin",N/A,Undefined,RED_TAI,Undefined,1,Top,0,1,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.98765,-2.206471,2.040091,2053.429576,117.762047,10:00,5.52911,-1.32574,5.57955,-30.06321,8.37245,-13.49087,0.96083,-0.54388,78.63184,-7.743923,-0.369651,0.446209,,,,,,,,,,,,7.41225,5.26378,1.15922,50,5.31967,-3.86865,-124.67622,-5.84692,11.61906,26.02625,-23.92281,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,140b61e0-3dc4-11f0-b243-abfb408d895f,84.47259,,,7.35581,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:08:00.15,2025-05-30T19:08:00.1577984-07:00,2025-05-31T02:08:00.1577984Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,10ef7d0f-7d5a-41a4-9869-5989be2443c9,54.91833,-125.69873,13.01313,5.53092,-4.90705,-11.9614,1.32018,-4.32514,5.80953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-30,19:08:17.26,2,3,"Morell, Jake",1000303166,Left,LIN_POT,"Soper, Gavin",N/A,Undefined,RED_TAI,Undefined,1,Top,0,2,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.76967,-1.323709,3.767381,2094.947893,114.125584,9:45,5.7216,-1.2456,6.2381,-28.63045,8.13725,-15.51828,2.11183,0.94139,79.36145,-6.672333,0.968726,0.43642,,,,,,,,,,,,9.07934,4.96496,0.97176,50,5.60869,-7.67169,-125.85145,-3.80873,14.54082,25.88177,-24.22251,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,1e5078c0-3dc4-11f0-b243-abfb408d895f,86.36735,,,7.40822,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:08:17.26,2025-05-30T19:08:17.2696064-07:00,2025-05-31T02:08:17.2696064Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,dcad27a6-e5cc-47c9-948d-576903475919,54.26033,-126.72457,12.94089,5.7234,-2.99159,-12.11125,1.23883,-8.16222,7.27041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-30,19:08:33.60,2,4,"Morell, Jake",1000303166,Left,LIN_POT,"Soper, Gavin",N/A,Undefined,RED_TAI,Undefined,1,Top,0,2,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.63306,-0.538943,2.160978,1945.082578,99.030095,9:15,5.58754,-1.32475,5.75199,-33.58927,3.93158,-17.11265,2.28635,-0.73816,79.18614,-6.735655,-0.90434,0.440867,,,,,,,,,,,,9.49666,2.44394,1.15653,50,5.52201,-4.06235,-125.80252,-2.33821,15.15169,26.57688,-28.27478,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,28090710-3dc4-11f0-b243-abfb408d895f,85.49615,,,7.44693,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:08:33.60,2025-05-30T19:08:33.6023040-07:00,2025-05-31T02:08:33.6023040Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,7d965efd-1477-413d-8ce4-bcfc18d568a9,54.74939,-126.8019,13.28844,5.58994,-1.27498,-14.13739,1.32,-4.6321,7.57584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-30,19:08:51.99,2,5,"Morell, Jake",1000303166,Left,LIN_POT,"Soper, Gavin",N/A,Undefined,RED_TAI,Undefined,1,Top,0,2,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.24458,1.13091,2.474027,2579.351578,266.402349,3:00,5.34068,-1.74492,5.6268,-47.17632,2.60189,18.15155,2.4657,2.07766,69.50072,-7.492913,5.70806,0.507798,,,,,,,,,,,,-8.53867,1.46284,1.52225,50,5.40682,-5.38213,-109.239,0.69037,-10.3334,18.96936,-30.40372,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250530-McBean-Private-1,33127f60-3dc4-11f0-b243-abfb408d895f,74.22721,,,5.74386,,,,,,,855980f0-a920-41bc-bd87-94cefcaee42f,2025-05-31,02:08:51.99,2025-05-30T19:08:51.9943168-07:00,2025-05-31T02:08:51.9943168Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,bf87a05b-e2a9-4c0a-8af2-cd95737cb459,54.87348,-110.08202,9.48468,5.34612,2.04156,-15.20186,1.75123,-4.9229,-5.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
