PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-01,13:09:41.00,1,1,"Vasser, Eric",1000199176,Right,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.72506,-1.53008,-3.732813,2402.467254,241.452571,2:00,4.93569,1.80801,6.42013,-20.38229,10.95552,18.24532,1.8273,-0.10782,85.39471,-5.390806,-0.431864,0.402908,,,,,,,,,,,,-10.55264,6.46929,-1.54893,50,4.81698,8.10453,-135.96237,-4.26548,-19.6902,30.69821,-20.10297,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,5aaee7f0-3f24-11f0-add6-e583ab8f977c,93.55098,,,8.33035,,,,,,,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:09:41.00,2025-06-01T13:09:41.0088448-07:00,2025-06-01T20:09:41.0088448Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,969f0d29-3ac4-48b0-b779-ae8e218aeedc,54.07846,-136.88013,15.34911,4.93552,-3.66448,-10.05149,-1.80002,8.69319,-9.8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-01,13:09:56.33,1,2,"Vasser, Eric",1000199176,Right,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.21118,-0.524322,-4.443967,2372.524895,241.216831,2:00,5.03773,1.67773,6.33139,-20.80001,10.33032,16.95804,2.82013,-1.00935,85.76633,-4.455819,-1.386573,0.401572,62.8223,-46.332347,90.685203,,,,,4.09674,1.93407,70.386333,0.049038,-10.12918,5.82725,-1.36113,50,4.98949,9.91008,-136.59709,-1.91224,-19.08764,30.82801,-21.19309,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,63c9d6b0-3f24-11f0-add6-e583ab8f977c,93.86225,3.28805,,8.44485,,,,1.41271,3.28805,0.72068,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:09:56.33,2025-06-01T13:09:56.3320832-07:00,2025-06-01T20:09:56.3320832Z,GroundBall,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,5ec3283f-2c03-43e4-b697-391bb95a914b,54.16833,-137.5346,15.414,5.03785,-1.26773,-10.59655,-1.67134,10.49055,-9.54382,,1.41275,-0.76539,,,,,,,,3.29122,-67.0505,,,,,,,,0.71766,63.99789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2025-06-01,13:10:18.92,1,3,"Vasser, Eric",1000199176,Right,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.98869,-0.725693,-7.029793,2247.263506,142.719602,10:45,4.61202,2.00092,6.45252,-32.96596,5.09914,-3.06677,1.19308,-4.74546,78.73936,-6.812429,-7.578145,0.444053,,,,,,,,,,,,-0.19693,3.2202,-1.49981,50,4.54574,15.25065,-122.75679,-2.55863,-0.30301,22.40797,-27.21941,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,71342260-3f24-11f0-add6-e583ab8f977c,84.88276,,,6.24933,,,,,,,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:10:18.92,2025-06-01T13:10:18.9293568-07:00,2025-06-01T20:10:18.9293568Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,12c4428a-39b7-4c50-87be-d44716bd7fcd,54.04622,-123.49318,11.20399,4.61512,-1.66412,-13.60971,-2.00115,15.26061,-0.1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-01,13:10:39.74,1,4,"Vasser, Eric",1000199176,Right,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,1,2,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.01725,2.402316,-0.284887,2044.721095,68.135687,8:15,4.55099,2.16358,5.91468,-42.63424,-0.29441,-3.84414,3.22901,1.57884,74.42381,-5.460723,-0.974993,0.468323,52.92386,30.809967,148.048037,3803.655985,,,,,29.30996,,,1.90228,-0.43949,-2.13851,50,4.7191,0.73018,-117.71466,3.56191,2.68021,21.48063,-32.79324,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,7dbb3a00-3f24-11f0-add6-e583ab8f977c,80.48377,17.49753,,6.59343,,,,1.49131,3.2718,-1.54406,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:10:39.74,2025-06-01T13:10:39.7446656-07:00,2025-06-01T20:10:39.7446656Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,fdb88035-c2d7-4645-bc8f-8858173cc989,54.58562,-118.54849,10.74032,4.55613,4.83488,-16.39662,-2.16484,0.62615,1.34011,311.610732,1.4952,-56.67499,1.29539,,,,,,,3.2811,39.50026,-21.08666,,,,,,,-1.53757,35.10104,-6.12365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2025-06-01,13:11:00.12,1,5,"Vasser, Eric",1000199176,Right,LIN_POT,"Gamble, Andrew",N/A,Undefined,RED_TAI,Undefined,1,Top,0,1,2,Undefined,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,93.47259,-0.883596,-2.700838,2233.172691,248.716482,2:15,4.86136,1.81345,6.58768,-22.01048,9.42473,21.41273,2.21652,1.12115,84.67102,-5.066684,1.191728,0.403534,97.29961,10.03521,-19.126206,7144.639764,103.68677,14.10417,-36.72718,234.33865,234.19034,-19.616418,2.126122,-12.10977,5.54477,-1.63685,50,4.79164,5.5405,-135.75035,-2.75938,-22.34421,32.82402,-21.94315,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,89d055f0-3f24-11f0-add6-e583ab8f977c,93.40595,14.31606,,8.80157,,,,2.11932,2.25727,-1.07906,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:11:00.12,2025-06-01T13:11:00.1229824-07:00,2025-06-01T20:11:00.1229824Z,LineDrive,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,57e55e58-376e-4dc1-8943-e4876456520f,53.91164,-136.69289,16.41201,4.86182,-2.12928,-10.97158,-1.80516,6.18212,-11.1721,173.047299,2.11932,132.76557,-19.58716,3.75127,-0.78795,0.16153,-0.03038,0.00435,-0.00032,2.25727,24.86696,-13.51155,0.83377,-0.15888,0.03759,-0.00645,0.00089,-7E-05,-1.07906,-46.04222,6.03105,-1.04152,0.21166,-0.04212,0.00803,-0.00116,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-06-01,13:11:44.96,2,1,"Vasser, Eric",1000199176,Right,LIN_POT,"Catalano, Caleb",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.09552,-0.966539,-3.981956,2159.272399,247.238783,2:15,4.94117,1.60568,6.44095,-23.12915,9.14394,19.39033,2.12337,-0.44336,84.30401,-5.322683,-0.473746,0.408876,,,,,,,,,,,,-11.17245,5.35488,-1.33058,50,4.86199,8.51127,-133.6651,-2.9811,-20.25338,28.26767,-22.46676,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,a499f0d0-3f24-11f0-add6-e583ab8f977c,92.18551,,,7.79151,,,,,,,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:11:44.96,2025-06-01T13:11:44.9666048-07:00,2025-06-01T20:11:44.9666048Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,762aec01-0584-4c43-ba05-c09053cc1e8f,54.05862,-134.52068,14.13384,4.94192,-2.30109,-11.23338,-1.59747,9.12428,-10.12669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-01,13:12:15.01,2,2,"Vasser, Eric",1000199176,Right,LIN_POT,"Catalano, Caleb",N/A,Undefined,RED_TAI,Undefined,1,Top,0,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.02981,-1.84532,-5.180087,2346.893809,229.464664,1:45,4.84435,1.78099,6.38233,-16.6528,15.96257,17.41505,1.75153,-1.54602,83.87417,-5.03517,-2.043001,0.411038,,,,,,,,,,,,-10.48067,9.14591,-1.41448,50,4.70297,11.35679,-133.22942,-4.76636,-18.82744,28.76908,-15.74436,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,b67d8fa0-3f24-11f0-add6-e583ab8f977c,91.70053,,,8.15564,,,,,,,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:12:15.01,2025-06-01T13:12:15.0115840-07:00,2025-06-01T20:12:15.0115840Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,4fa5fc7c-981c-40d7-8984-67b26efb9847,54.11614,-134.1153,14.38454,4.84227,-4.28155,-7.87218,-1.77312,11.93654,-9.41372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-01,13:12:31.96,2,3,"Vasser, Eric",1000199176,Right,LIN_POT,"Catalano, Caleb",N/A,Undefined,RED_TAI,Undefined,1,Top,0,1,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.38633,0.07162,-3.680533,2371.712454,229.04104,1:45,4.83245,1.77481,6.5297,-19.40147,13.33776,14.16292,3.2815,-0.42591,83.28307,-3.631007,-1.114907,0.411818,,,,,,,,,,,,-8.46134,7.28693,-1.52463,50,4.82889,7.97118,-132.65964,-0.38106,-15.05735,28.74977,-19.20661,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,c09973a0-3f24-11f0-add6-e583ab8f977c,91.52686,,,8.10326,,,,,,,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:12:31.96,2025-06-01T13:12:31.9647744-07:00,2025-06-01T20:12:31.9647744Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,c70f3b44-b45d-45d8-8cd7-06275d09c9fb,53.96904,-133.51704,14.37489,4.83171,0.19173,-9.60331,-1.76904,8.42023,-7.52867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-01,13:12:58.40,2,4,"Vasser, Eric",1000199176,Right,LIN_POT,"Catalano, Caleb",N/A,Undefined,RED_TAI,Undefined,1,Top,0,1,2,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,2,0,,75.23758,2.562152,-0.678994,2613.751553,66.499513,8:15,4.77257,1.96313,6.08809,-55.39027,-6.10063,-17.6754,2.52858,-0.13796,68.78207,-7.660063,-3.863334,0.5053,90.21565,1.270865,-7.628584,3497.714473,,,,53.3863,52.04767,-7.135214,0.416804,8.92056,-3.45705,-1.90153,50,4.94119,1.90918,-109.27038,3.24221,10.69881,20.70074,-36.32024,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,d06a3800-3f24-11f0-add6-e583ab8f977c,74.59421,2.56688,,6.45551,,,,0.91943,2.4703,0.17605,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:12:58.40,2025-06-01T13:12:58.4080896-07:00,2025-06-01T20:12:58.4080896Z,GroundBall,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,9c25e93d-ca84-4b22-a62c-d20f3649fd7a,54.41337,-110.1033,10.35037,4.78134,4.70359,-18.16012,-1.96969,1.4787,5.3494,349.965598,0.92474,130.94246,-14.588,,,,,,,2.47815,2.68294,-20.74504,,,,,,,0.17463,-17.5152,2.85476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-06-01,13:13:35.10,3,1,"Vasser, Eric",1000199176,Right,LIN_POT,"Soper, Gavin",N/A,Undefined,RED_TAI,Undefined,1,Top,2,0,0,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.03452,1.032622,-3.625139,1601.116861,275.353379,3:15,4.78223,2.17923,6.27393,-39.11057,-0.40595,16.10631,2.47691,0.17528,77.59419,-6.206109,-0.718517,0.447768,,,,,,,,,,,,-9.29123,-0.13413,-1.9187,50,4.83964,7.13481,-122.09323,0.96538,-14.15486,21.95033,-32.37841,LIN_POT,RED_TAI,McBean,TeamExclusive,Team,20250601-McBean-Private-1,e641f460-3f24-11f0-add6-e583ab8f977c,84.17855,,,6.44032,,,,,,,008a2ee1-4795-42b2-b040-840aab24c417,2025-06-01,20:13:35.10,2025-06-01T13:13:35.1097344-07:00,2025-06-01T20:13:35.1097344Z,,v3,,122036,,"Villanueva, Ryan",N/A,Right,LIN_POT,9fcc500d-20b0-4c37-9130-ef379929ccc6,54.22777,-122.85096,10.97517,4.78702,2.08309,-16.18921,-2.17344,7.62344,-7.07743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
