PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-13,19:01:11.71,1,1,"Yeary, Will",815611,Right,LIN_POT,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.48531,-1.297988,-1.508706,2201.194978,236.635772,2:00,5.61206,1.24195,6.01855,-25.01186,11.34993,15.46832,2.32483,1.13319,80.01591,-5.978107,1.275676,0.434004,,,,,,,,,,,,-8.34863,6.56351,-1.13188,50,5.49674,2.70859,-127.06204,-3.67228,-13.62666,26.42439,-21.46109,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,72741c40-48c3-11f0-90e6-69b457e9af71,86.84806,,,7.4694,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:01:11.71,2025-06-13T19:01:11.7140000-07:00,2025-06-14T02:01:11.7140000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,1418f998-0076-422e-bbba-b9fa1f9a11ab,54.47934,-127.9902,13.2122,5.61249,-2.91846,-10.73054,-1.23543,3.18722,-6.81333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-13,19:01:24.10,1,2,"Yeary, Will",815611,Right,LIN_POT,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,0,0,1,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.38708,-1.493828,-1.348872,2250.179589,240.738419,2:00,5.49013,1.3415,5.75723,-27.2847,10.61847,16.653,1.82522,1.47345,78.6097,-6.572415,1.635174,0.443107,,,,,,,,,,,,-8.86449,6.24599,-1.23981,50,5.34984,2.25016,-125.33872,-4.17019,-13.98768,27.24216,-22.31821,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,79d4d7e0-48c3-11f0-90e6-69b457e9af71,85.06389,,,7.77739,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:01:24.10,2025-06-13T19:01:24.1010000-07:00,2025-06-14T02:01:24.1010000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,0a9a8c12-ac1b-4eae-91a4-af186951791c,54.74016,-126.36479,13.62108,5.49108,-3.32958,-11.1591,-1.33448,2.777,-6.99384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-06-13,19:01:36.98,1,3,"Yeary, Will",815611,Right,LIN_POT,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,0,1,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.77838,-0.702531,-2.580203,2265.038663,192.543539,12:30,5.46365,1.42959,6.00186,-37.03785,5.675,0.96244,1.72553,-0.88253,74.157,-7.552122,-2.407172,0.470382,,,,,,,,,,,,-1.24323,3.44292,-1.22717,50,5.38768,5.25167,-117.30158,-2.57063,-1.72731,22.77271,-27.39055,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,81889580-48c3-11f0-90e6-69b457e9af71,80.13153,,,6.62138,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:01:36.98,2025-06-13T19:01:36.9850000-07:00,2025-06-14T02:01:36.9850000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,ceffaf1d-b7f3-454b-ac22-d962aafe121e,54.49895,-118.17177,11.38635,5.46592,-1.52399,-13.69528,-1.4291,5.31767,-0.86366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-13,19:02:00.55,1,4,"Yeary, Will",815611,Right,LIN_POT,"Test12, TestK12",1000233760,Left,TestK,Undefined,1,Top,0,1,2,Undefined,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.32788,0.116591,-0.526043,2186.72178,32.055854,7:00,5.64184,1.30737,5.66329,-56.95322,-11.25867,-7.88398,1.00446,0.15984,72.70478,-10.214948,-1.940367,0.486523,,,,,,,,,,,,3.86693,-5.33945,-1.25786,50,5.61557,1.34357,-113.91832,-1.68295,5.09302,20.48402,-39.20647,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,8f85f970-48c3-11f0-90e6-69b457e9af71,77.47303,,,5.6231,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:02:00.55,2025-06-13T19:02:00.5550000-07:00,2025-06-14T02:02:00.5550000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,f4a80ee1-211b-4645-8e0e-13da943d8546,54.83958,-114.78525,10.24201,5.65168,-0.02366,-19.60324,-1.31016,1.12802,2.54651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.40953,,,0.948291,,,,2.50544,5.23358,-1.47227,67.96048,2.82053,-56.81635,2.5546,74.71022,-6.06133,5.25111,9.0791,-12.28082,-1.53251,-64.76813,6.83551,High,High,High,,,High,High,High
5,2025-06-13,19:02:28.14,2,1,"Yeary, Will",815611,Right,LIN_POT,"Test3, TestK3",10157492,Right,TestK,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.43169,-2.970189,-2.336136,2190.09308,237.486218,2:00,5.49582,1.44306,5.95595,-25.5308,10.73516,15.1591,0.60907,0.53868,80.85212,-7.696193,0.389622,0.433432,,,,,,,,,,,,-8.37217,6.61158,-1.2658,50,5.24516,4.56031,-126.90363,-7.41978,-13.76596,23.95601,-21.30291,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,a0021900-48c3-11f0-90e6-69b457e9af71,86.96273,,,6.57957,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:02:28.14,2025-06-13T19:02:28.1450000-07:00,2025-06-14T02:02:28.1450000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,f8db92f1-3d58-49dd-98e2-7494670fd0ce,54.54361,-127.75847,11.97801,5.49637,-6.65962,-10.65145,-1.43729,5.05152,-6.88298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-06-13,19:02:38.72,2,2,"Yeary, Will",815611,Right,LIN_POT,"Test3, TestK3",10157492,Right,TestK,Undefined,1,Top,1,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.73881,-2.003734,-3.255012,2151.882031,256.900046,2:30,5.3919,1.29816,6.12965,-31.26399,4.83299,15.7895,0.93072,-0.39798,80.43044,-7.797574,-0.408532,0.432421,,,,,,,,,,,,-9.04245,3.43681,-1.05704,50,5.22249,6.5964,-127.27168,-5.49483,-14.80889,26.49455,-26.54557,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,a639e500-48c3-11f0-90e6-69b457e9af71,87.16603,,,7.30837,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:02:38.72,2025-06-13T19:02:38.7240000-07:00,2025-06-14T02:02:38.7240000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,3c047c34-dd44-41af-b927-cc7dcffa1bd7,54.36912,-128.17799,13.24728,5.39492,-4.58678,-13.27279,-1.29135,7.10298,-7.40445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-13,19:02:50.49,2,3,"Yeary, Will",815611,Right,LIN_POT,"Test3, TestK3",10157492,Right,TestK,Undefined,1,Top,1,2,0,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.26243,-0.828823,-1.919603,2247.28124,173.844248,11:45,5.43431,1.47125,5.76219,-41.94593,2.68134,-0.14126,1.16692,-0.32784,73.09026,-8.516257,-1.944926,0.480808,,,,,,,,,,,,-0.45524,2.02969,-1.31216,50,5.34024,3.86312,-115.10204,-3.01795,-0.61146,21.12728,-29.44789,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,ad56b9d0-48c3-11f0-90e6-69b457e9af71,78.39398,,,6.17217,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:02:50.49,2025-06-13T19:02:50.4900000-07:00,2025-06-14T02:02:50.4900000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,e57d6cf6-8a21-4e6c-b563-bff0fe92d898,54.73634,-115.96814,10.56364,5.43922,-1.81074,-14.72395,-1.47105,3.88819,-0.30573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-13,19:03:02.47,2,4,"Yeary, Will",815611,Right,LIN_POT,"Test3, TestK3",10157492,Right,TestK,Undefined,1,Top,1,2,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.01126,-1.381948,-1.940385,2166.850533,241.961685,2:00,5.46124,1.36436,6.11617,-27.31765,9.23965,15.19804,1.90609,0.83617,79.80531,-6.477942,0.800354,0.43517,,,,,,,,,,,,-8.4543,5.49394,-1.22371,50,5.34091,3.69107,-126.4214,-3.91346,-13.68015,25.80957,-23.28417,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,b4607bd0-48c3-11f0-90e6-69b457e9af71,86.61553,,,7.20594,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:03:02.47,2025-06-13T19:03:02.4730000-07:00,2025-06-14T02:03:02.4730000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,623d8cd5-a934-422e-855b-a6309e0e25d1,54.384,-127.31327,12.90478,5.46224,-3.10886,-11.64209,-1.35943,4.1638,-6.84008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-13,19:03:27.23,2,5,"Yeary, Will",815611,Right,LIN_POT,"Test3, TestK3",10157492,Right,TestK,Undefined,1,Top,1,2,2,Undefined,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.55922,2.171237,0.178686,2080.16106,31.911382,7:00,5.54132,1.27571,5.86013,-57.19039,-9.90111,-6.98945,2.79358,0.85926,70.98803,-8.280099,-1.076987,0.49494,,,,,,,,,,,,3.62618,-5.22055,-1.28608,50,5.68389,-0.09586,-111.35376,2.40519,4.58859,18.5323,-38.78019,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,c3435dc0-48c3-11f0-90e6-69b457e9af71,76.15556,,,5.57119,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:03:27.23,2025-06-13T19:03:27.2370000-07:00,2025-06-14T02:03:27.2370000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,4778f222-846d-4893-bb9a-ad062a3038c1,54.64304,-112.12382,9.26615,5.55047,4.0166,-19.39009,-1.27813,-0.28653,2.29429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-13,19:03:52.82,3,1,"Yeary, Will",815611,Right,LIN_POT,"Test5, TestK5",10157494,Right,TestK,Undefined,1,Top,2,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.92084,1.949706,0.293901,1984.392317,31.505042,7:00,5.59631,1.15877,5.77145,-56.5307,-8.0917,-5.82989,2.7005,0.94644,70.13871,-8.380685,-0.751781,0.500921,,,,,,,,,,,,3.04173,-4.16725,-1.17954,50,5.72337,-0.35249,-110.3606,1.94942,3.76589,18.9277,-37.33344,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250613-McBean-1,d28fafe0-48c3-11f0-90e6-69b457e9af71,75.24632,,,5.78213,,,,,,,ea284a24-446f-4d57-8378-2ef4d45df8ff,2025-06-14,02:03:52.82,2025-06-13T19:03:52.8280000-07:00,2025-06-14T02:03:52.8280000Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,1fc1f551-e30d-49a6-aa3e-22371db8606a,54.73027,-111.16892,9.46385,5.60608,3.54376,-18.66672,-1.16105,-0.51331,1.88295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
