PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-27,18:04:20.88,1,1,"Alkire, Johnny",1000107520,Right,LIN_POT,"Freschi, Dario",10282272,Left,WES_COA17,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.73754,-0.275096,-2.744449,2441.788977,215.03787,1:15,5.88608,2.11517,5.86621,-19.95292,15.17556,9.77878,3.96749,0.37874,81.04874,-4.06267,-0.992857,0.426581,,,,,,,,,,,,-5.8039,8.18607,-1.89824,50,5.85228,5.80439,-130.06801,-1.23866,-9.8365,29.99984,-18.30026,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,cfed9380-6b4e-11f0-833a-21dffdb29150,88.35946,,,8.6888,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:04:20.88,2025-07-27T18:04:20.8801792-07:00,2025-07-28T01:04:20.8801792Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,1db87f79-f81c-4717-b27a-e03e0251bf58,54.62884,-131.13129,14.99992,5.88469,-0.59005,-9.15013,-2.11015,6.15303,-4.91825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-27,18:04:36.80,1,2,"Alkire, Johnny",1000107520,Right,LIN_POT,"Freschi, Dario",10282272,Left,WES_COA17,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.89396,-2.292469,-2.692479,2400.803619,210.388323,1:00,5.65506,2.28491,6.09137,-17.89615,17.68706,9.62312,2.03971,0.59447,80.34975,-5.718526,-0.960824,0.429333,,,,,,,,,,,,-5.76926,10.19138,-2.08208,50,5.46863,5.65018,-128.78728,-5.65498,-9.57146,29.79056,-15.26613,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,d95801d0-6b4e-11f0-833a-21dffdb29150,87.79309,,,8.54421,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:04:36.80,2025-07-27T18:04:36.8021504-07:00,2025-07-28T01:04:36.8021504Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,a12cdee1-1f29-48d6-b7cd-4dd6a8d584ec,54.40384,-129.80197,14.89528,5.65239,-5.13501,-7.63306,-2.28008,5.97619,-4.78573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-27,18:04:51.39,1,3,"Alkire, Johnny",1000107520,Right,LIN_POT,"Freschi, Dario",10282272,Left,WES_COA17,Undefined,1,Top,0,1,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.73302,-2.855029,-2.413907,2488.84397,213.368399,1:00,5.80885,1.89861,5.99506,-17.61367,17.15206,10.53249,1.69081,0.53809,81.83183,-6.197557,-0.52109,0.424372,,,,,,,,,,,,-6.08788,9.97638,-1.71409,50,5.57393,5.03744,-130.0819,-7.00584,-10.3964,28.13922,-15.13714,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,e20e3b50-6b4e-11f0-833a-21dffdb29150,88.81927,,,7.90119,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:04:51.39,2025-07-27T18:04:51.3994752-07:00,2025-07-28T01:04:51.3994752Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,328f01a1-0cef-452e-b804-27fde1fbc58f,54.50204,-131.05216,14.06961,5.8065,-6.4839,-7.56857,-1.89396,5.39592,-5.1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-27,18:05:10.27,1,4,"Alkire, Johnny",1000107520,Right,LIN_POT,"Freschi, Dario",10282272,Left,WES_COA17,Undefined,1,Top,0,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.38513,-0.834405,-1.243339,2478.364793,211.75342,1:00,5.90178,1.95092,5.73752,-16.70013,17.97847,10.38847,3.73289,1.65868,81.82394,-4.024456,0.615543,0.42384,,,,,,,,,,,,-5.6254,9.72875,-1.85369,50,5.82221,2.38032,-131.11572,-2.40382,-9.70683,29.99273,-15.3868,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,ed629f50-6b4e-11f0-833a-21dffdb29150,88.93077,,,8.56119,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:05:10.27,2025-07-27T18:05:10.2791168-07:00,2025-07-28T01:05:10.2791168Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,bd3ae8e2-6bc8-4829-b9cf-b0311bd64c43,54.75801,-132.19963,14.99637,5.89904,-1.84776,-7.6934,-1.94606,2.73112,-4.85342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-27,18:05:30.20,1,5,"Alkire, Johnny",1000107520,Right,LIN_POT,"Freschi, Dario",10282272,Left,WES_COA17,Undefined,1,Top,0,2,2,Undefined,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.3191,-2.192137,-1.40338,2402.502475,212.462583,1:00,5.80012,1.90156,5.84116,-18.0584,16.32938,9.67741,2.25637,1.4035,82.48965,-5.603571,0.332084,0.422059,,,,,,,,,,,,-5.31339,9.28808,-1.79284,50,5.6109,2.78791,-131.05799,-5.57264,-9.22943,28.03365,-16.0406,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,f93b9ca0-6b4e-11f0-833a-21dffdb29150,89.30604,,,7.82945,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:05:30.20,2025-07-27T18:05:30.2080000-07:00,2025-07-28T01:05:30.2080000Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,8ce49b6b-e540-417c-9a71-6b56dc42bff6,54.65565,-132.05009,14.01682,5.79807,-5.00497,-8.0203,-1.89728,3.11454,-4.61471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-27,18:05:56.58,2,1,"Alkire, Johnny",1000107520,Right,LIN_POT,"Damelio, Joey",832512,Right,WES_COA17,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4657,-0.915118,-3.258412,2477.371443,220.947311,1:15,5.85019,2.04636,5.80246,-20.03387,14.22702,11.41052,3.32816,-0.03648,82.72902,-4.679146,-1.217985,0.42128,,,,,,,,,,,,-6.68646,7.82957,-1.78533,50,5.763,6.97211,-131.22497,-2.74719,-11.68354,27.22503,-18.4931,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,08df84a0-6b4f-11f0-833a-21dffdb29150,89.47124,,,7.73667,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:05:56.58,2025-07-27T18:05:56.5889024-07:00,2025-07-28T01:05:56.5889024Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,e727dbfc-a923-46ed-8763-0096730f70d9,54.69528,-132.1955,13.61252,5.84918,-2.08794,-9.24655,-2.04131,7.38861,-5.84177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-27,18:06:14.66,2,2,"Alkire, Johnny",1000107520,Right,LIN_POT,"Damelio, Joey",832512,Right,WES_COA17,Undefined,1,Top,1,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.66569,-2.094361,-3.350306,2484.146129,213.834522,1:15,5.73629,2.0255,5.95741,-17.90627,16.75339,10.50367,2.29774,-0.20959,82.19212,-5.480122,-1.466827,0.423725,79.74516,36.988016,33.393594,4969.146936,84.90704,70.43065,69.93393,244.04072,113.54768,45.6341,4.706763,-6.31099,9.503,-1.76516,50,5.55963,7.17691,-130.04771,-5.30119,-10.84193,26.4706,-15.84837,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,13c06650-6b4f-11f0-833a-21dffdb29150,88.95505,76.12598,,7.47357,,,,0.88901,2.69993,0.17899,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:06:14.66,2025-07-27T18:06:14.6602496-07:00,2025-07-28T01:06:14.6602496Z,FlyBall,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,65ec1fe8-077f-4b8a-bec0-ade299495927,54.54157,-130.96886,13.2353,5.73451,-4.74968,-7.92419,-2.02147,7.5542,-5.42096,208.429583,0.89355,77.89288,-22.3975,5.636,-0.74115,-0.08178,0.05232,-0.00784,0.0004,2.69799,70.40385,-18.58418,0.72499,0.17247,-0.13542,0.04811,-0.0081,0.00051,0.17971,51.40236,-5.12306,0.37121,0.18305,-0.09925,0.02431,-0.003,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-07-27,18:06:52.78,2,3,"Alkire, Johnny",1000107520,Right,LIN_POT,"Damelio, Joey",832512,Right,WES_COA17,Undefined,1,Top,1,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.33739,-2.732108,-2.934487,2494.365177,208.819693,1:00,5.89731,1.8939,5.9064,-13.95757,19.86879,10.28481,2.19292,0.02472,82.83312,-5.42474,-1.091219,0.4186,,,,,,,,,,,,-6.14296,11.33745,-1.66398,50,5.66963,6.33441,-132.29964,-6.69718,-10.80361,30.25968,-12.23491,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,2a7b08a0-6b4f-11f0-833a-21dffdb29150,90.0441,,,8.50428,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:06:52.78,2025-07-27T18:06:52.7820288-07:00,2025-07-28T01:06:52.7820288Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,f94d72ca-0ff9-45c4-ba64-39055fde404b,54.59067,-133.34548,15.12984,5.89379,-6.27431,-6.11746,-1.88936,6.70781,-5.4018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-27,18:07:15.76,2,4,"Alkire, Johnny",1000107520,Right,LIN_POT,"Damelio, Joey",832512,Right,WES_COA17,Undefined,1,Top,1,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.78171,-0.238985,-2.618417,2461.934804,204.234928,12:45,6.03611,1.63455,5.88101,-16.29784,18.828,7.91496,4.45579,-0.13919,80.91318,-3.378107,-1.200404,0.426565,,,,,,,,,,,,-4.8191,10.0219,-1.42736,50,6.00737,5.59829,-130.10956,-0.99007,-8.16101,30.37826,-15.20229,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,38134220-6b4f-11f0-833a-21dffdb29150,88.3628,,,8.86853,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:07:15.76,2025-07-27T18:07:15.7665280-07:00,2025-07-28T01:07:15.7665280Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,856f87f2-842c-403f-9a71-df5e37982228,54.61289,-131.18216,15.18913,6.03284,-0.4533,-7.60115,-1.63011,5.88645,-4.0805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-27,18:07:35.04,2,5,"Alkire, Johnny",1000107520,Right,LIN_POT,"Damelio, Joey",832512,Right,WES_COA17,Undefined,1,Top,1,2,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.75232,2.141817,-3.497264,2586.765045,26.943091,7:00,5.69443,2.35923,5.08143,-59.44365,-9.86249,-5.86363,2.76443,-1.4301,69.933,-8.591898,-4.531231,0.506792,,,,,,,,,,,,1.81366,-5.02496,-2.02289,50,5.85081,7.02451,-111.05033,2.04562,2.2394,21.97048,-38.37858,LIN_POT,WES_COA17,McBean,Pacific Empire,PEL,20250727-McBean-1,43be2a90-6b4f-11f0-833a-21dffdb29150,74.37456,,,6.81932,,,,,,,e18a02f1-8c8c-4263-9dd1-4cca91e3e0a9,2025-07-28,01:07:35.04,2025-07-27T18:07:35.0423040-07:00,2025-07-28T01:07:35.0423040Z,,v3,,,,"Belding, Masen",1000163910,Right,LIN_POT,abd70273-0ea0-4d55-a54c-9eabfbb8e5e3,55.41837,-112.11719,10.98524,5.70623,3.90924,-19.18929,-2.36135,6.91577,1.1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
