PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-25,13:06:04.63,1,1,"Yeary, Will",N/A,Undefined,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.48148,-0.634887,-3.498467,2243.831744,221.951774,1:30,5.7192,0.86388,6.16131,-18.88009,16.83308,14.01489,3.55824,-1.20403,80.02686,-4.249713,-0.976426,0.430116,,,,,,,,,,,,-8.26205,9.24075,-0.60497,50,5.66121,7.25817,-128.25393,-1.94731,-13.63288,28.84187,-16.92624,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,b0920f20-39a3-11f0-96b9-7f81e1e7c935,87.63317,,,8.45463,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:06:04.63,2025-05-25T13:06:04.6326272-07:00,2025-05-25T20:06:04.6326272Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,60842c15-fd92-4601-bdb9-7ba30ec7a24e,54.33489,-129.22509,14.42094,5.71718,-1.37737,-8.46312,-0.85709,7.71721,-6.81644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-25,13:06:15.98,1,2,"Yeary, Will",N/A,Undefined,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,1,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.36147,-2.140021,-3.755509,2330.966071,230.489279,1:45,5.56211,1.27278,6.14397,-20.98989,14.81328,16.46906,1.83023,-0.83015,80.27571,-6.115989,-0.791927,0.430658,,,,,,,,,,,,-9.57091,8.64741,-0.99443,50,5.38789,7.72032,-128.00575,-5.40966,-15.7737,28.07502,-17.92232,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,b75e52f0-39a3-11f0-96b9-7f81e1e7c935,87.52299,,,8.08576,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:06:15.98,2025-05-25T13:06:15.9868416-07:00,2025-05-25T20:06:15.9868416Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,a7da6262-d6c4-422c-b50c-a9bacff6856b,54.35308,-128.95696,14.03751,5.56089,-4.80243,-8.96116,-1.26506,8.25474,-7.88685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-25,13:06:29.80,1,3,"Yeary, Will",N/A,Undefined,LIN_POT,"Ford, Caleb",N/A,Undefined,NOV_KNI,Undefined,1,Top,0,1,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,88.37866,-1.524136,-2.982194,2158.539136,249.92168,2:15,5.65287,1.09398,6.23395,-27.76226,8.14548,18.68812,1.93109,-0.10225,79.74132,-6.741781,0.392872,0.431286,86.30281,-51.959304,-58.011576,,,,,2.48019,2.48019,-28.329279,0.019297,-10.66048,5.10422,-0.88031,50,5.52548,5.91661,-128.11492,-4.28687,-17.41539,30.68577,-23.83558,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,bf987ea0-39a3-11f0-96b9-7f81e1e7c935,87.39547,1.92726,,8.63735,,,,1.38432,1.92726,0.10203,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:06:29.80,2025-05-25T13:06:29.8040320-07:00,2025-05-25T20:06:29.8040320Z,GroundBall,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,28ecbb41-02c2-42a6-a948-e6c7a3b3cf67,54.26364,-129.1321,15.34288,5.65448,-3.49676,-11.91779,-1.086,6.4939,-8.7077,,1.38408,41.39704,,,,,,,,1.92784,-99.87447,,,,,,,,0.10241,-66.27891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2025-05-25,13:06:59.72,2,1,"Yeary, Will",N/A,Undefined,LIN_POT,"Nazario, Benny",N/A,Undefined,NOV_KNI,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.22931,-1.720979,-2.96961,2230.244179,225.419959,1:30,5.73201,0.84544,6.25146,-19.16493,15.56497,14.64591,2.54524,-0.6751,81.42045,-5.365032,-0.32636,0.424154,,,,,,,,,,,,-8.41111,8.89922,-0.63147,50,5.59444,6.11999,-129.48216,-4.44118,-14.25185,27.52457,-17.09518,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,d16a1c10-39a3-11f0-96b9-7f81e1e7c935,88.86509,,,7.80886,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:06:59.72,2025-05-25T13:06:59.7229056-07:00,2025-05-25T20:06:59.7229056Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,1d40c7c2-a269-422d-9958-7c4ea0190b8a,54.24639,-130.38171,13.76228,5.73045,-3.88248,-8.54759,-0.83909,6.58576,-7.12593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-05-25,13:07:11.36,2,2,"Yeary, Will",N/A,Undefined,LIN_POT,"Nazario, Benny",N/A,Undefined,NOV_KNI,Undefined,1,Top,1,0,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.8274,-0.900163,-3.228542,2338.610757,224.385554,1:30,5.70382,0.93551,6.28747,-19.6354,15.33032,13.90288,3.23658,-0.8844,81.03808,-4.636475,-0.719175,0.425591,,,,,,,,,,,,-8.11119,8.55339,-0.70386,50,5.62778,6.71284,-128.9254,-2.58492,-13.63528,27.11305,-17.79541,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,d85ab0c0-39a3-11f0-96b9-7f81e1e7c935,88.56491,,,7.78932,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:07:11.36,2025-05-25T13:07:11.3645568-07:00,2025-05-25T20:07:11.3645568Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,22d142cb-22ed-4847-af5f-1818a541fec9,54.21053,-129.80786,13.55653,5.70248,-2.00573,-8.8977,-0.92956,7.15663,-6.81764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-25,13:07:25.30,2,3,"Yeary, Will",N/A,Undefined,LIN_POT,"Nazario, Benny",N/A,Undefined,NOV_KNI,Undefined,1,Top,1,0,2,Undefined,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.62349,-1.415141,-3.233835,2257.594939,220.801706,1:15,5.79682,0.85396,6.04722,-20.53348,13.87406,11.09186,2.77325,-1.21867,82.46965,-5.271529,-1.240859,0.422181,,,,,,,,,,,,-6.54205,7.82961,-0.6079,50,5.67532,6.89319,-130.11051,-3.8576,-11.29734,25.41001,-18.65326,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,e0ae7ef0-39a3-11f0-96b9-7f81e1e7c935,89.28038,,,7.15384,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:07:25.30,2025-05-25T13:07:25.3070000-07:00,2025-05-25T20:07:25.3070000Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,c48c4fdf-11bf-4a81-8113-3274fabfd2af,54.45176,-130.97704,12.70501,5.79602,-3.22149,-9.32663,-0.84953,7.27845,-5.64867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.77919,2.975019,1.970381,1.004639,-1.33489,2.51381,1.27578,2.59847,5.26455,-0.37006,73.20591,6.35303,-51.57134,2.6631,76.37884,-6.1334,5.29143,14.18485,-13.06697,-0.41795,-55.46242,4.5243,High,High,High,,,High,Medium,High
7,2025-05-25,13:07:54.41,3,1,"Yeary, Will",N/A,Undefined,LIN_POT,"Anderson, Matt",N/A,Undefined,NOV_KNI,Undefined,1,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.68337,3.420667,0.300357,2040.332167,37.02322,7:15,5.70662,1.14569,5.69865,-52.12621,-4.30024,-4.33181,4.55415,1.06459,70.29144,-6.136074,-0.473898,0.497741,,,,,,,,,,,,2.27138,-2.62941,-1.16818,50,5.96157,-0.41989,-111.26684,4.96556,2.85437,19.51245,-35.47836,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,f1f19800-39a3-11f0-96b9-7f81e1e7c935,75.72702,,,6.39193,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:07:54.41,2025-05-25T13:07:54.4177664-07:00,2025-05-25T20:07:54.4177664Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,a934f6da-392b-4406-8a37-22b3a5dfe153,54.8013,-112.10567,9.75622,5.71532,6.49075,-17.73918,-1.14749,-0.5426,1.42719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-25,13:08:06.16,3,2,"Yeary, Will",N/A,Undefined,LIN_POT,"Anderson, Matt",N/A,Undefined,NOV_KNI,Undefined,1,Top,2,1,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.02351,-1.377583,-3.90164,2339.974046,219.249623,1:15,5.66983,0.94919,6.00607,-18.3769,17.02615,12.93142,2.8589,-1.59359,80.85039,-4.877501,-1.582994,0.428244,,,,,,,,,,,,-7.76083,9.49804,-0.64915,50,5.55127,8.25012,-128.97251,-3.63905,-13.00345,28.13693,-16.25982,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,f9014d70-39a3-11f0-96b9-7f81e1e7c935,88.01618,,,8.17312,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:08:06.16,2025-05-25T13:08:06.1600256-07:00,2025-05-25T20:08:06.1600256Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,7b675981-1336-48f0-86a8-aa24964ca6b3,54.49087,-129.94855,14.06846,5.66772,-3.07501,-8.12991,-0.94317,8.7012,-6.50173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-25,13:08:18.84,3,3,"Yeary, Will",N/A,Undefined,LIN_POT,"Anderson, Matt",N/A,Undefined,NOV_KNI,Undefined,1,Top,2,2,0,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.98066,-1.563815,-2.86433,2169.969873,249.391415,2:15,5.467,1.21602,6.23563,-27.89415,7.95374,17.97355,1.69774,0.06934,80.21991,-6.781934,0.382359,0.430926,,,,,,,,,,,,-10.21001,4.93721,-1.01113,50,5.33646,5.68079,-127.69071,-4.36813,-16.75111,27.83766,-24.07377,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,008fcfd0-39a4-11f0-96b9-7f81e1e7c935,87.46839,,,7.76075,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:08:18.84,2025-05-25T13:08:18.8499456-07:00,2025-05-25T20:08:18.8499456Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,536e7aad-a840-4c48-955a-01a95d1d818c,54.26389,-128.61692,13.91883,5.46847,-3.56716,-12.03688,-1.20941,6.23813,-8.37555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-25,13:08:33.82,3,4,"Yeary, Will",N/A,Undefined,LIN_POT,"Anderson, Matt",N/A,Undefined,NOV_KNI,Undefined,1,Top,2,2,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.21894,-1.596307,-2.10253,2147.156362,238.262618,2:00,5.46951,1.24018,6.25133,-24.4384,11.28386,16.25934,1.95948,0.6553,80.12697,-6.203436,0.836261,0.430171,,,,,,,,,,,,-9.08682,6.70752,-1.09169,50,5.33888,4.05117,-128.04505,-4.31147,-14.9395,28.83982,-21.14631,LIN_POT,NOV_KNI,McBean,TeamExclusive,Team,20250525-McBean-Private-1,097f1ab0-39a4-11f0-96b9-7f81e1e7c935,87.62205,,,8.09197,,,,,,,36e6e3cb-81ec-4e38-a619-7b7261dd74a9,2025-05-25,20:08:33.82,2025-05-25T13:08:33.8207744-07:00,2025-05-25T20:08:33.8207744Z,,v3,,,,"Villanueva, Ryan",N/A,Undefined,LIN_POT,57be7d17-98de-4ddd-b788-2630f7ae98e7,54.24677,-128.99801,14.41991,5.4698,-3.61273,-10.57316,-1.23371,4.54482,-7.46975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
