PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-04,18:07:34.44,1,1,"O'Harran, Toran",805302,Right,LIN_POT,"Test4, TestK4",10157493,Right,TestK,Undefined,1,Top,0,0,0,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.35141,-2.064517,-2.64662,2308.588889,221.206454,1:15,6.02302,1.92777,5.97643,-16.79292,17.33414,14.22812,2.70692,0.65828,82.65918,-5.255476,-0.091375,0.420456,62.8442,-17.875155,1.027022,,,,,9.07866,8.85363,-3.482497,0.094162,-8.07296,9.81544,-1.72642,50,5.85026,5.46849,-131.12362,-5.22711,-14.06776,27.49138,-15.06988,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,704d7680-593c-11f0-87f2-c16ccae1a5a9,89.6465,2.65339,,7.69224,,,,0.90265,2.65339,-0.65661,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:07:34.44,2025-07-04T18:07:34.4426496-07:00,2025-07-05T01:07:34.4426496Z,GroundBall,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,95b28ba9-f867-4008-b008-a508326b22d4,54.52298,-132.0685,13.74569,6.02101,-4.70915,-7.53494,-1.92268,5.952,-7.03388,161.005054,0.90273,87.69773,-11.12909,,,,,,,2.65329,-28.27814,1.07407,,,,,,,-0.65656,1.56539,-4.77709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
2,2025-07-04,18:08:13.70,2,1,"O'Harran, Toran",805302,Right,LIN_POT,"Test5, TestK5",10157494,Right,TestK,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.71219,-1.292215,-2.311304,1997.794182,242.211424,2:00,5.70897,2.334,5.76216,-26.01868,9.44249,15.918,2.33685,1.50811,81.72281,-6.109608,0.539012,0.428596,,,,,,,,,,,,-8.7152,5.47508,-2.15231,50,5.58603,4.52665,-128.85729,-3.80169,-14.75199,25.08656,-22.90651,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,87b39b10-593c-11f0-87f2-c16ccae1a5a9,87.94404,,,6.98938,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:08:13.70,2025-07-04T18:08:13.7008640-07:00,2025-07-05T01:08:13.7008640Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,ff549070-fc05-4f88-8bc6-a3ff82b771d1,54.73758,-129.77635,12.54328,5.70994,-2.9625,-11.45325,-2.32804,5.0671,-7.37599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-04,18:08:34.11,2,2,"O'Harran, Toran",805302,Right,LIN_POT,"Test5, TestK5",10157494,Right,TestK,Undefined,1,Top,1,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.26855,-1.379137,-1.360442,1968.193976,245.690868,2:15,5.79866,2.2623,5.7296,-24.87915,8.69658,17.02021,2.44039,2.41342,83.96106,-5.983379,1.687369,0.417045,,,,,,,,,,,,-9.01709,5.10705,-2.15942,50,5.66833,2.40076,-132.6072,-4.0778,-16.131,27.11876,-23.03788,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,93e0abd0-593c-11f0-87f2-c16ccae1a5a9,90.37955,,,7.30749,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:08:34.11,2025-07-04T18:08:34.1133824-07:00,2025-07-05T01:08:34.1133824Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,8a16ef0c-9aed-4d6a-9390-fce465333c03,54.76997,-133.57911,13.55938,5.79968,-3.25213,-11.51894,-2.25582,2.97888,-8.0655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-04,18:08:54.59,2,3,"O'Harran, Toran",805302,Right,LIN_POT,"Test5, TestK5",10157494,Right,TestK,Undefined,1,Top,1,1,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.21404,-2.107008,-2.168133,2232.306449,231.528069,1:45,5.92557,2.12784,5.99665,-19.14182,14.27131,16.64088,2.37569,1.50452,83.59303,-5.711188,0.824251,0.416035,,,,,,,,,,,,-9.195,8.24213,-1.96642,50,5.749,4.3182,-132.44373,-5.47806,-16.35624,27.90193,-17.51277,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,a00b99b0-593c-11f0-87f2-c16ccae1a5a9,90.59919,,,7.621,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:08:54.59,2025-07-04T18:08:54.5947648-07:00,2025-07-05T01:08:54.5947648Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,6c1609a1-a645-4802-8090-6d07219e3157,54.50328,-133.38906,13.95097,5.92455,-4.88472,-8.75638,-2.12211,4.87235,-8.17812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-04,18:09:13.07,2,4,"O'Harran, Toran",805302,Right,LIN_POT,"Test5, TestK5",10157494,Right,TestK,Undefined,1,Top,1,1,2,Undefined,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.06853,0.567379,-1.01745,1125.867586,277.887924,3:15,5.71732,2.2756,5.92637,-40.39108,-0.43461,11.11008,2.87796,2.25727,77.00816,-6.853598,0.98021,0.454951,,,,,,,,,,,,-5.953,-0.01134,-2.20053,50,5.73969,1.71659,-120.86028,-0.14856,-8.8994,21.19648,-32.191,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,ab1a4220-593c-11f0-87f2-c16ccae1a5a9,82.84937,,,6.06036,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:09:13.07,2025-07-04T18:09:13.0752512-07:00,2025-07-05T01:09:13.0752512Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,9fb9dd8c-39d1-435b-bfad-b7b01ec4fef1,54.5746,-121.65993,10.59824,5.72239,1.06586,-16.0955,-2.27162,2.05233,-4.4497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-04,18:09:32.74,2,5,"O'Harran, Toran",805302,Right,LIN_POT,"Test5, TestK5",10157494,Right,TestK,Undefined,1,Top,1,2,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2936,-3.3402,-4.105544,2245.530791,232.778884,1:45,5.7855,2.03905,6.07441,-18.68214,14.06217,17.1178,1.12654,-0.3398,84.48704,-6.858861,-1.030659,0.41185,,,,,,,,,,,,-9.91764,8.48406,-1.72973,50,5.51616,8.85541,-133.61714,-8.3997,-17.95279,28.4419,-16.81627,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,b6bd6260-593c-11f0-87f2-c16ccae1a5a9,91.51982,,,7.80656,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:09:32.74,2025-07-04T18:09:32.7404032-07:00,2025-07-05T01:09:32.7404032Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,8e2c3e92-7f95-4120-b9f9-eaa7466fd868,54.42434,-134.55561,14.22095,5.78416,-7.84482,-8.40814,-2.0317,9.44778,-8.97639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-04,18:09:55.83,2,6,"O'Harran, Toran",805302,Right,LIN_POT,"Test5, TestK5",10157494,Right,TestK,Undefined,1,Top,1,3,2,Undefined,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.46825,-1.977044,-5.100551,1859.779015,243.324828,2:00,5.64474,2.30284,5.65858,-27.16702,8.5517,15.05816,1.52908,-1.21142,82.16206,-6.960917,-2.422284,0.430149,,,,,,,,,,,,-8.81662,5.11862,-1.87981,50,5.4594,10.79771,-128.15593,-5.39943,-14.90956,22.30874,-23.51804,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,c47e80a0-593c-11f0-87f2-c16ccae1a5a9,87.62641,,,6.30619,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:09:55.83,2025-07-04T18:09:55.8387712-07:00,2025-07-05T01:09:55.8387712Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,885ba9f1-b581-4a36-ba24-d89142d98e85,54.84197,-128.99604,11.15437,5.64606,-4.51378,-11.75902,-2.29701,11.35918,-7.45478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-04,18:10:53.10,3,1,"O'Harran, Toran",805302,Right,LIN_POT,"Test9, TestK9",10157498,Left,TestK,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.32537,-2.35653,-3.339437,2289.314299,228.995924,1:45,5.84786,2.08806,5.93482,-18.54883,13.83347,14.86879,2.11096,0.22552,85.52014,-5.823692,-0.672954,0.409567,,,,,,,,,,,,-8.42201,7.94674,-1.8297,50,5.64879,7.18413,-134.03432,-6.12987,-15.5447,25.00753,-17.50663,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,e6be0cd0-593c-11f0-87f2-c16ccae1a5a9,92.02992,,,6.80523,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:10:53.10,2025-07-04T18:10:53.1095552-07:00,2025-07-05T01:10:53.1095552Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,1d9e2fb5-d4df-4185-8c59-29184df91ab6,54.56555,-134.88345,12.50376,5.84684,-5.53543,-8.75331,-2.0826,7.71196,-7.77235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-04,18:11:11.09,3,2,"O'Harran, Toran",805302,Right,LIN_POT,"Test9, TestK9",10157498,Left,TestK,Undefined,1,Top,1,0,1,Undefined,Sinker,InPlay,Undefined,FlyBall,Single,0,0,,93.32347,-2.431705,-3.64573,2327.450508,232.598228,1:45,5.77479,1.98496,6.10901,-17.50843,14.33241,17.43481,2.06128,0.06214,85.49968,-5.742838,-0.509965,0.406129,94.07204,27.361263,25.260231,,94.12564,52.65848,56.92314,302.57318,185.5085,42.137305,4.504576,-10.03591,8.37197,-1.71401,50,5.57844,7.88943,-135.34379,-6.30235,-18.66313,28.82969,-16.60522,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,f1687530-593c-11f0-87f2-c16ccae1a5a9,92.80912,66.18888,,7.8238,,,,0.83865,2.47498,0.18917,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:11:11.09,2025-07-04T18:11:11.0958080-07:00,2025-07-05T01:11:11.0958080Z,FlyBall,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,39e663d5-fffe-49b6-b605-28609057fd5f,54.39129,-136.27597,14.41485,5.77354,-5.76543,-8.30261,-1.97886,8.49289,-9.33157,,0.83853,110.82599,-31.26403,8.54125,-2.16644,0.51749,-0.10571,0.01416,-0.00082,2.47663,63.37019,-16.3824,-0.47275,0.84806,-0.38221,0.09935,-0.01336,0.00071,0.18916,52.29296,0.55739,-1.97249,0.80406,-0.2039,0.03298,-0.00287,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2025-07-04,18:12:05.80,4,1,"O'Harran, Toran",805302,Right,LIN_POT,"Test8, TestK8",10157497,Left,TestK,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.75872,-2.414243,-4.513887,2092.981639,239.076171,2:00,5.71165,2.3933,5.605,-24.11604,10.66327,16.16635,1.43997,-0.48188,83.22903,-6.852382,-1.637352,0.424455,,,,,,,,,,,,-9.27914,6.28252,-2.01717,50,5.48866,9.57227,-130.0789,-6.35315,-16.13917,23.41774,-21.2469,LIN_POT,TestK,McBean,Pacific Empire,PEL,20250704-McBean-1,11fa5160-593d-11f0-87f2-c16ccae1a5a9,88.80191,,,6.52969,,,,,,,9f79fc07-7d7c-4b31-83e5-4a8a7875df12,2025-07-05,01:12:05.80,2025-07-04T18:12:05.8062336-07:00,2025-07-05T01:12:05.8062336Z,,v3,,test-11,,"Paniagua, Adam",1000299786,Right,LIN_POT,c7eceb73-0997-46fe-aa23-5fe72a7d45b8,54.89589,-130.95733,11.70887,5.71202,-5.55615,-10.62345,-2.38759,10.17766,-8.06958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
