PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Vasser, Eric",1000391537,Right,LIN_POT,"Mason, Jelani",N/A,Undefined,EXP_EXP1,Undefined,1,Top,0,0,0,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,e067ea70-44a3-11f0-a469-b5db78d32eca,,,,,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,,,,,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-06-08,13:05:18.62,1,2,"Vasser, Eric",1000391537,Right,LIN_POT,"Mason, Jelani",N/A,Undefined,EXP_EXP1,Undefined,1,Top,0,0,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.96251,1.009533,-3.025231,2052.506706,250.624199,2:15,4.65448,2.07694,6.38258,-26.20297,6.21874,14.82332,3.40097,0.52668,83.98872,-3.908683,-0.344455,0.409816,,,,,,,,,,,,-8.52827,3.28012,-1.86528,50,4.71521,6.44658,-133.56184,1.50565,-15.41656,28.56585,-26.24456,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,e7694800-44a3-11f0-a469-b5db78d32eca,91.97396,,,7.97379,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:05:18.62,2025-06-08T13:05:18.6220000-07:00,2025-06-08T20:05:18.6220000Z,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,cb8eb049-2cf5-4fd3-a0ec-33763529747d,54.11626,-134.43933,14.28293,4.65658,2.31183,-13.12228,-2.07058,6.92015,-7.70828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-06-08,13:05:33.42,1,3,"Vasser, Eric",1000391537,Right,LIN_POT,"Mason, Jelani",N/A,Undefined,EXP_EXP1,Undefined,1,Top,0,0,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.45334,0.414816,-2.192612,2031.484179,235.920262,1:45,4.82984,1.93866,6.43391,-22.00155,10.05268,13.35481,3.37789,1.03553,84.27052,-3.750813,0.227359,0.407487,,,,,,,,,,,,-7.55445,5.44508,-1.78811,50,4.84939,4.58888,-134.33746,0.29649,-13.77778,29.63685,-22.24334,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,f03ca670-44a3-11f0-a469-b5db78d32eca,92.49965,,,8.18282,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:05:33.42,2025-06-08T13:05:33.4200000-07:00,2025-06-08T20:05:33.4200000Z,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,f93932a5-012c-4b16-add9-525773a6692a,54.06379,-135.23102,14.81843,4.83034,0.96714,-11.12167,-1.93273,5.00429,-6.88889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-08,13:05:48.30,1,4,"Vasser, Eric",1000391537,Right,LIN_POT,"Mason, Jelani",N/A,Undefined,EXP_EXP1,Undefined,1,Top,0,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.70967,1.174883,-1.249542,1581.024006,287.017454,3:30,4.96212,1.70125,6.14525,-43.36821,-3.24953,14.36831,2.43416,1.74378,76.39651,-6.824567,1.344144,0.455874,,,,,,,,,,,,-7.73741,-1.60406,-1.61325,50,5.02941,2.08113,-120.326,1.06228,-11.41852,21.90463,-34.54125,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,f92317b0-44a3-11f0-a469-b5db78d32eca,82.68172,,,6.31315,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:05:48.30,2025-06-08T13:05:48.3040000-07:00,2025-06-08T20:05:48.3040000Z,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,9d6b31a7-7c22-4faa-9df2-5b06e3f0c60a,54.35611,-121.11641,10.95232,4.96859,2.30867,-17.27062,-1.69578,2.49316,-5.70926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-08,13:06:06.57,1,5,"Vasser, Eric",1000391537,Right,LIN_POT,"Mason, Jelani",N/A,Undefined,EXP_EXP1,Undefined,1,Top,0,2,2,Undefined,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.50662,1.158062,-1.240625,2518.486536,50.405346,7:45,4.84612,2.01551,6.04581,-55.93515,-8.30689,-11.86631,1.25738,-0.12208,70.29376,-9.115087,-3.379868,0.496711,33.48381,-30.075784,166.919108,,,,,4.51327,7.69689,7.384645,0.089929,5.8004,-4.28358,-1.91236,50,4.90588,2.81843,-111.19777,0.55167,7.21165,21.24436,-37.49983,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,04061c40-44a4-11f0-a469-b5db78d32eca,75.88405,2.24517,,6.21286,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:06:06.57,2025-06-08T13:06:06.5750000-07:00,2025-06-08T20:06:06.5750000Z,GroundBall,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,85abaad2-d523-4b24-bdc8-9c893d4aa0b5,54.4564,-112.04593,10.62218,4.85397,2.04882,-18.74992,-2.01913,2.53051,3.60583,,8.2608,-41.99233,,,,,,,,2.25032,-24.96623,,,,,,,,-0.29937,9.75716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-06-08,13:06:43.23,2,1,"Vasser, Eric",1000391537,Right,LIN_POT,"Clemmens, Kalen",N/A,Undefined,EXP_EXP1,Undefined,1,Top,1,0,0,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.42488,-0.002498,-4.146771,1907.931269,245.546827,2:15,4.85798,1.77625,6.71663,-24.80978,6.90622,13.03178,2.78821,-0.93489,84.57041,-4.685038,-1.779146,0.405332,,,,,,,,,,,,-8.01315,3.95024,-1.50599,50,4.84812,9.22112,-134.17675,-0.75531,-14.63074,28.61271,-24.96153,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,19d88170-44a4-11f0-a469-b5db78d32eca,92.99159,,,7.85447,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:06:43.23,2025-06-08T13:06:43.2360000-07:00,2025-06-08T20:06:43.2360000Z,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,10d1ccdd-f9ec-4032-89a4-a6f06e0b990f,53.78277,-134.981,14.30636,4.85949,-0.05369,-12.48076,-1.77095,9.63237,-7.31537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-08,13:07:03.21,2,2,"Vasser, Eric",1000391537,Right,LIN_POT,"Clemmens, Kalen",N/A,Undefined,EXP_EXP1,Undefined,1,Top,1,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.43352,0.121006,-5.654539,2111.529881,206.421275,1:00,4.68586,1.9752,6.27585,-33.29329,4.49792,1.68642,2.02351,-3.11346,78.74647,-6.044149,-5.352274,0.442453,,,,,,,,,,,,-2.34181,2.68079,-1.55709,50,4.67887,12.18066,-123.68034,-0.78604,-3.65107,23.15933,-27.99449,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,25a7bac0-44a4-11f0-a469-b5db78d32eca,85.18977,,,6.68706,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:07:03.21,2025-06-08T13:07:03.2180000-07:00,2025-06-08T20:07:03.2180000Z,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,36918c4b-49a3-44c4-957d-c461ebafae1d,54.22239,-124.46848,11.57967,4.68942,0.16664,-13.99725,-1.97372,12.30491,-1.82553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-06-08,13:07:19.28,2,3,"Vasser, Eric",1000391537,Right,LIN_POT,"Clemmens, Kalen",N/A,Undefined,EXP_EXP1,Undefined,1,Top,1,1,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,91.77868,-0.430616,-3.217991,2112.997184,245.572127,2:15,4.98995,1.89649,6.28847,-24.22864,8.49276,16.40796,2.57343,0.29514,83.80999,-4.982241,-0.255023,0.411706,90.26267,1.670526,-10.754155,1024.505924,,,,61.96438,61.25983,-10.838979,0.488363,-9.47548,4.84205,-1.66718,50,4.94643,6.82683,-133.27213,-1.78099,-17.0195,28.99316,-23.47692,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,2f4d0f30-44a4-11f0-a469-b5db78d32eca,91.55181,2.77727,,7.96869,,,,1.51616,2.58778,-0.2228,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:07:19.28,2025-06-08T13:07:19.2800000-07:00,2025-06-08T20:07:19.2800000Z,GroundBall,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,78f324a7-2b2c-4c7e-9f25-05962d4a7054,54.2115,-134.18521,14.49658,4.99088,-1.04164,-11.73846,-1.89062,7.36283,-8.50975,13.146617,1.53064,129.60619,-16.68901,,,,,,,2.59902,3.55038,-18.21195,,,,,,,-0.22462,-24.64195,2.55008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-06-08,13:07:59.00,3,1,"Vasser, Eric",1000391537,Right,LIN_POT,"Summers, JT",N/A,Undefined,EXP_EXP1,Undefined,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.08944,1.465058,-3.774635,1904.616583,97.089988,9:15,4.64183,2.11519,5.98048,-40.72305,1.82307,-4.01756,2.60949,-1.7235,74.2415,-6.053948,-4.493782,0.469463,,,,,,,,,,,,0.98969,0.93906,-1.81441,50,4.73543,7.9085,-117.54945,1.71698,1.3824,22.63892,-30.86236,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,470ac9a0-44a4-11f0-a469-b5db78d32eca,80.28841,,,6.84793,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:07:59.00,2025-06-08T13:07:59.0060000-07:00,2025-06-08T20:07:59.0060000Z,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,272330d9-8ce9-495e-8c5e-2405c69a40d4,54.51784,-118.41635,11.31946,4.64706,2.89877,-15.43118,-2.11623,7.85556,0.6912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-08,13:08:29.27,3,2,"Vasser, Eric",1000391537,Right,LIN_POT,"Summers, JT",N/A,Undefined,EXP_EXP1,Undefined,1,Top,1,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.82497,-0.426316,-5.370866,2119.881727,238.277946,2:00,4.84119,1.72748,6.6824,-23.11757,10.15174,14.59875,2.52306,-1.98302,82.38184,-4.81893,-2.728074,0.415139,,,,,,,,,,,,-9.23174,5.81737,-1.37278,50,4.8034,11.78306,-131.49206,-1.64583,-16.05865,29.56347,-22.05471,LIN_POT,EXP_EXP1,McBean,TeamExclusive,Team,20250608-McBean-Private-2,590f0fd0-44a4-11f0-a469-b5db78d32eca,90.79478,,,8.44313,,,,,,,c76ccf6d-3565-48c0-925c-2a13840eae0a,2025-06-08,20:08:29.27,2025-06-08T13:08:29.2750000-07:00,2025-06-08T20:08:29.2750000Z,,v3,,31f0938a-53e7-4129-9fa2-067fbeb69c16,,"Chang, Aidan",N/A,Right,LIN_POT,702fd46d-7ca2-4577-ab46-c8f01cb27cfa,53.81487,-132.34699,14.78174,4.84178,-1.00804,-11.02736,-1.72024,12.24744,-8.02932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
